gname,log2FoldChange,pvalue
thrL,0.012880327,0.957031644
thrA,-0.367256891,7.18029E-05
thrB,-0.379839254,0.000281557
thrC,-0.320130865,0.000605723
yaaX,-0.177333869,0.579669598
yaaA,0.247056976,0.201247483
yaaJ,-0.523585184,0.000245511
talB,0.454088619,7.36361E-06
mog,0.206281967,0.163056391
satP,0.153378082,0.398393394
yaaW,0.203186355,0.724337284
yaaI,0.101904169,0.908535017
dnaK,-0.663452885,7.12232E-13
dnaJ,-0.413915909,0.000102602
insL1,0.311477335,0.093144271
mokC,0.803495577,0.017431763
sokC,0.60661435,0.354809412
nhaA,-1.154346497,3.63075E-18
nhaR,-0.573877775,0.001118579
insB1,-0.333433703,0.506198374
insA1,0.932787141,0.197672874
rpsT,0.1234012,0.469739605
yaaY,-0.466473502,0.107934865
ribF,-0.19753785,0.098925397
ileS,0.212931156,0.024545087
lspA,0.130548731,0.372064355
fkpB,0.355360142,0.095891543
ispH,0.21684916,0.182242033
rihC,1.267633434,9.50773E-36
dapB,0.27106834,0.028838554
carA,0.258975254,0.507536002
carB,0.381155848,0.031615927
caiF,1.692028753,5.5507E-32
caiE,0.704961433,0.055834058
caiD,-0.049430561,0.881522389
caiC,0.214797044,0.415533098
caiB,0.869740406,0.001633868
caiA,0.210072634,0.368224343
caiT,0.537738804,0.376319036
fixA,0.378603553,0.520443562
fixB,2.052809499,0.001802375
fixC,0.702401514,0.101700259
yaaU,0.471780507,0.413278302
kefF,-0.902248323,0.000256533
kefC,-1.533445413,5.82535E-24
folA,-0.916396966,8.56164E-09
apaH,-0.764656959,6.55907E-10
apaG,-0.441840788,0.001390103
rsmA,-0.429092882,0.00031965
pdxA,-0.074792792,0.549567579
surA,-0.584983418,5.1703E-09
lptD,-0.43944766,7.45905E-06
djlA,0.078602771,0.637912439
yabP,0.087723042,0.7914732
yabQ,1.588834635,1.40996E-09
rluA,-1.002756344,5.51924E-10
rapA,-1.010959184,7.26029E-18
polB,-0.493669204,5.21118E-05
araD,0.451787497,0.145112459
araA,0.350071838,0.014727877
araB,0.126729437,0.434529809
araC,0.574408747,9.09302E-08
yabI,-0.915524419,5.11211E-10
thiQ,-0.167168321,0.606891049
thiP,0.453955195,0.236563654
thiB,1.157613024,0.000121262
sroA,0.891534423,0.220736296
sgrR,0.585922223,5.63426E-05
setA,0.056089111,0.829733082
leuD,-0.72078402,0.000404419
leuC,-0.686574625,0.000112676
leuB,-0.909263188,7.54906E-05
leuA,-0.288884556,0.250819633
leuO,0.360978358,0.296081711
ilvI,0.172870207,0.309362043
ilvH,0.663667476,0.036956763
cra,0.708221988,2.3602E-12
mraZ,0.116236574,0.309179944
rsmH,-0.102934955,0.378207883
ftsL,0.04014542,0.783112497
ftsI,-0.027356551,0.822803125
murE,-0.119056061,0.230947146
murF,0.075184907,0.480456054
mraY,-0.081856382,0.50835844
murD,-0.167638868,0.097494196
ftsW,0.112795628,0.343718035
murG,-0.117232294,0.327668814
murC,0.087094799,0.392172848
ddlB,-0.027735425,0.787109906
ftsQ,-0.38615478,0.000278847
ftsA,-0.088717827,0.380172888
ftsZ,-0.204971266,0.032422062
lpxC,0.148947639,0.140606624
secM,0.296662619,0.01727103
secA,0.026727081,0.784877722
mutT,0.26690772,0.560900137
yacG,0.077401599,0.75655787
zapD,-0.132662504,0.443408617
coaE,-0.018161762,0.932554484
guaC,1.508716798,3.24528E-26
hofC,-0.318080923,0.390033254
hofB,0.615744349,0.014211103
nadC,0.115808395,0.451341586
ampD,0.9520658,7.16292E-10
ampE,0.620896474,0.000112181
aroP,-0.112196155,0.507086495
pdhR,0.764392775,6.81687E-08
aceE,0.837648094,4.42978E-18
aceF,0.755471127,1.78912E-16
lpd,-0.129615475,0.155599238
yacH,-0.059834107,0.788140589
acnB,-1.336299287,2.65824E-50
yacL,0.413476419,0.000732873
speD,1.073526419,1.68376E-13
speE,0.960200277,2.30453E-11
yacC,0.610199435,0.027290831
cueO,0.691563176,3.63208E-06
gcd,-2.34730523,1.0988E-130
hpt,-0.275817467,0.107208084
can,0.078259259,0.566077139
yadG,0.335330937,0.019728761
yadH,-0.107689007,0.457483165
yadI,0.98401166,3.42711E-11
yadE,-0.143647203,0.511499121
panD,-0.100973383,0.520700971
rpnC,0.138089267,0.683565663
panC,0.149611985,0.148785444
panB,-0.02105923,0.849169948
yadC,-0.74109,0.37708122
yadL,0.329184364,0.562877667
htrE,0.057899479,0.939413277
folK,0.383533967,0.401195296
pcnB,-0.151058244,0.228487245
gluQ,-0.859043941,0.000322021
dksA,-0.529211801,2.8874E-08
sfsA,0.301742379,0.045216945
thpR,0.332302589,0.187981175
hrpB,0.08044947,0.514703093
mrcB,-0.282468098,0.017410837
fhuA,-0.229722725,0.104607623
fhuC,-0.021133499,0.935960047
fhuD,-0.207870818,0.586171242
fhuB,-0.308291407,0.214598268
hemL,0.567073929,6.29619E-08
clcA,-1.320899146,9.85855E-29
yadW,0.531057922,0.571411508
erpA,-0.18880291,0.113641957
yadS,0.449571085,0.288983207
btuF,0.730087227,0.00293464
mtn,0.478514345,7.08903E-05
dgt,-0.08371327,0.555205057
degP,-0.298185815,0.004092873
cdaR,0.567629965,0.000860742
yaeH,0.139975885,0.17800681
yaeI,0.490091829,0.175463442
dapD,-0.100001468,0.306315007
glnD,0.348455317,0.006503291
map,0.229084402,0.059929925
tff,1.928099017,5.17486E-22
rpsB,1.018660599,1.08338E-24
tsf,1.144858541,1.35808E-28
pyrH,0.368336406,0.002844845
frr,-0.49856475,8.99868E-07
dxr,-0.185320733,0.176347871
ispZ,0.003727223,0.995065094
ispU,0.314378707,0.030471438
cdsA,-0.389846914,0.007707726
rseP,-0.033820763,0.757957801
bamA,0.130734628,0.171446476
skp,-0.013452544,0.900511755
lpxD,-0.012790661,0.91244352
fabZ,0.208030896,0.120812532
lpxA,0.042932661,0.688981871
lpxB,0.109642949,0.479583938
rnhB,-0.084758226,0.69217667
dnaE,0.157754155,0.161199897
accA,-0.00798627,0.950151101
ldcC,-1.733990417,4.46627E-72
yaeR,-1.632875361,2.72835E-34
tilS,-0.799464864,6.00459E-08
rof,-0.73871216,1.11261E-08
yaeP,-0.440263711,0.000749845
yaeQ,-0.010488728,0.950324653
arfB,-0.304079891,0.110840936
nlpE,-0.660397005,1.41057E-08
yaeF,-0.044442353,0.894642372
proS,0.136145841,0.2001116
trmO,0.011822783,0.964731534
rcsF,0.384374648,0.03661316
metQ,0.216473213,0.048112986
metI,0.55640123,0.000249204
metN,0.59776953,5.65342E-06
gmhB,0.794886354,1.79562E-08
rrsH,0.265762688,0.815044433
ileV,0.548150783,0.027508047
alaV,-0.076957879,0.920920498
rrlH,0.340043457,0.738982747
aspU,-0.393073873,0.637061082
dkgB,0.396949025,0.159627716
yafC,0.292735117,0.038035749
yafD,-0.329923315,0.002378025
yafE,-0.0248065,0.91174829
mltD,0.324140965,0.041110656
gloB,-0.03960574,0.798176773
yafS,0.451265191,0.005679097
rnhA,0.794510027,0.000293466
dnaQ,-0.321219793,0.022400996
aspV,-0.896300934,0.280159036
yafT,-0.031310456,0.972077327
yafV,-0.585468912,1.35502E-06
ivy,-0.369596407,0.000346196
fadE,-2.222258388,1.4737E-99
gmhA,-0.330562811,0.001351928
yafJ,0.243613002,0.086301553
dpaA,0.296398764,0.146552086
yafQ,0.264333604,0.49262517
dinJ,-0.106032288,0.441775005
yafL,-1.356233494,3.39199E-07
rayT,0.35532983,0.067318839
dinB,-0.566413453,0.000151826
yafN,-0.871209791,0.00028303
yafO,-0.624574612,0.21095127
yafP,0.087360629,0.882246588
pepD,0.34682525,0.000235587
gpt,0.53607702,0.113935096
frsA,0.322943836,0.004110098
insB9,0.229405608,0.683610991
insA9,1.40708258,0.067384935
phoE,0.25258685,0.486918295
proB,-0.14646279,0.220874823
proA,-0.1963259,0.082161639
thrW,0.049981012,0.934267052
ykfI,0.145234599,0.782626358
yafW,0.737645686,0.126484821
ykfG,0.416933397,0.378827913
yafX,0.162317053,0.62475157
ykfF,0.518233741,0.195863756
ykfB,-0.362302468,0.031267509
yafY,0.713673343,0.074423607
yafZ,-0.357986189,0.257099842
ykfA,0.234390395,0.346329457
perR,0.145888138,0.603805945
insI1,0.046003965,0.739159559
eyeA,-1.043637991,0.000575021
ykfC,-0.371666293,0.054188321
insH1,0.846903911,1.83335E-12
mmuP,-1.144570366,7.66089E-08
mmuM,0.902975871,1.52556E-13
afuC,0.634908566,0.133220383
insB2,0.572732954,0.175673688
insA2,0.398172828,0.350577836
yagB,-0.441276322,0.056698628
yagA,0.134988288,0.787659272
yagE,0.636061799,5.82864E-06
yagF,0.330999434,0.01457966
yagG,0.088880762,0.686340281
yagH,0.17945671,0.283555025
xynR,0.009494002,0.965729233
argF,-0.063368501,0.790351558
ykgS,0.024664631,0.959793641
insB3,0.350082743,0.283109661
insA3,0.811715366,0.073518771
yagJ,0.665778623,0.005021358
yagK,0.61861264,0.157793755
yagN,-0.278215454,0.268188454
intF,0.42819692,0.0072446
yagP,-0.053776318,0.869589737
paoD,-0.808763973,0.000113735
paoC,-0.812494325,1.61443E-07
paoB,-0.953198914,2.67326E-05
paoA,-0.656733274,0.03059225
yagU,-0.056778484,0.653747492
ykgJ,0.908757539,0.161104079
ecpE,-0.333925594,0.287355561
ecpD,-0.806584315,2.85495E-05
ecpC,-0.652676624,0.004261236
ecpB,-0.389336441,0.534535487
ecpA,0.461061786,0.140046982
ykgL,1.219983201,0.282969678
ykgM,0.678909806,0.419488243
insE1,0.28102633,0.38580135
insF1,-0.459299984,0.071455943
rclA,-0.987644291,2.90464E-13
rclR,0.226629109,0.482066763
ykgE,0.674234472,0.008262788
ykgF,0.877434679,1.2323E-07
ykgG,0.710563052,0.003942021
betA,-2.353274665,1.16425E-96
betB,-1.866436388,1.91203E-78
betI,-1.010233742,1.58505E-19
betT,-1.502244868,1.45958E-43
pdeL,0.230204761,0.616513407
yahB,-0.293923723,0.254054595
yahC,0.369652699,0.294422264
yahD,0.501835884,0.021647607
yahF,0.365495642,0.24820034
yahG,-0.3364123,0.117480055
yahH,-1.397393933,8.47389E-06
yahI,0.259678966,0.525707911
yahJ,0.236520457,0.152584738
yahK,-1.208200563,3.77282E-37
yahM,1.488190107,0.003116704
yahN,2.05110536,1.55234E-46
yahO,-1.329040711,2.89187E-45
prpR,-1.389582868,4.00607E-15
prpB,-0.152618426,0.769591722
prpC,-1.163601273,0.021505042
prpD,0.401062074,0.426764064
prpE,-0.222888191,0.426300105
codB,0.726745596,0.012595851
codA,0.361700457,0.014708231
cynR,0.127501926,0.710703427
cynT,-0.040775057,0.923626471
cynS,0.276697761,0.631029729
cynX,0.143789433,0.684291065
lacA,0.813458976,0.000110502
lacY,0.886230851,1.36536E-12
lacZ,0.976019818,3.62203E-25
lacI,-1.133288501,7.2211E-19
mhpR,-1.126146127,8.5082E-29
