gname,log2FoldChange,pvalue
rcsF,0.430106494,0.069251863
metQ,0.176935773,0.393110968
metI,-0.294797122,0.192823038
metN,0.007392511,0.973982358
gmhB,0.126462355,0.643212159
rrsH,-1.265308074,0.086215165
ileV,-0.165080782,0.602183568
alaV,-1.436947086,0.030212546
rrlH,-1.247519972,0.097578731
aspU,-1.509052448,0.192621374
dkgB,-0.073747951,0.802854598
yafC,0.401812177,0.056064415
yafD,0.056828221,0.778452337
yafE,0.167818059,0.528529734
mltD,-0.579760257,0.011726125
gloB,0.141092351,0.56734844
yafS,-0.008104468,0.974562938
rnhA,-0.08836541,0.755129505
dnaQ,-0.431074571,0.044531521
aspV,-0.918169625,0.35947973
yafT,-0.628706847,0.502723561
yafV,-0.53967879,0.012468639
ivy,-0.402255722,0.058719312
fadE,1.327817828,9.11892E-11
gmhA,-0.402106821,0.037633727
yafJ,0.163464974,0.431951382
dpaA,0.219338473,0.328231205
yafQ,-0.163142243,0.668050438
dinJ,-0.011400178,0.955569756
yafL,-0.20109699,0.504741037
rayT,0.454090138,0.149188067
dinB,-0.200862992,0.37202373
yafN,0.24754453,0.492240476
yafO,1.145845988,0.046655623
yafP,1.850360443,0.013821588
pepD,0.505290071,0.008975765
gpt,0.425463752,0.228511199
frsA,0.183276114,0.371840826
insB9,0.416969975,0.435315068
insA9,-0.09661698,0.888674188
phoE,0.124727515,0.782412419
proB,-0.319295023,0.11068185
proA,-0.24732508,0.216565491
thrW,-0.067146107,0.913962357
ykfI,-0.150675279,0.823912835
yafW,-0.207831778,0.654198294
ykfH,0.983296744,0.345669385
ykfG,0.743481004,0.07293516
yafX,-0.158233055,0.57153318
ykfF,0.048073292,0.8857424
ykfB,0.05378566,0.829054688
yafY,1.039479347,0.03296347
yafZ,-0.104910651,0.751546206
ykfA,0.042016309,0.88652587
perR,1.047574124,0.000585968
insI1,0.592598391,0.008612134
eyeA,-0.035700341,0.935153859
ykfC,0.174038531,0.481186765
insH1,0.618233878,0.00521584
mmuP,-0.629483902,0.010691497
mmuM,-0.12065153,0.589477699
afuC,-0.148398576,0.697764882
insB2,-0.18582606,0.607044951
insA2,-0.006885382,0.98507947
yagB,0.083249747,0.770560228
yagA,0.355306423,0.446027522
yagE,0.647522745,0.008330003
yagF,0.370225591,0.065178872
yagG,0.790802221,0.00421689
yagH,0.87452299,0.000292724
xynR,-0.522049054,0.047761069
argF,-0.463766822,0.102504919
ykgS,0.526087801,0.275424459
insB3,-0.165950149,0.620883167
insA3,0.014830541,0.973017968
yagJ,0.126769469,0.668311685
yagK,0.198581694,0.656507422
yagN,-0.64079126,0.066018371
intF,0.229597577,0.279874458
yagP,0.722391373,0.041901348
paoD,-0.168597742,0.50583484
paoC,-0.177590396,0.431775722
paoB,0.31690246,0.246505914
paoA,0.393719605,0.287894198
yagU,0.686762052,0.008819991
ykgJ,1.449941482,0.00909858
ecpE,-0.159559894,0.605692906
ecpD,-0.210856882,0.403389431
ecpC,-0.166876806,0.51332437
ecpB,0.407758796,0.566171186
ecpA,-0.298481413,0.393743022
ykgL,-0.166296324,0.833373985
ykgM,2.175970762,0.068368607
insE1,0.542311228,0.127558648
insF1,-0.067835535,0.799859872
rclA,0.187066828,0.428253189
rclR,0.649014884,0.193249729
ykgE,-0.780091379,0.003525396
ykgF,-0.714743506,0.005792139
ykgG,-0.886478187,0.010083915
betA,0.719115061,0.000816714
betB,0.637218022,0.003543375
betI,0.699906695,0.002508601
betT,0.050335659,0.812124427
pdeL,0.622988285,0.161327353
yahB,0.175203612,0.581703982
yahC,-0.469818343,0.372467242
yahD,1.123419289,0.000538818
yahF,0.801991953,0.016650941
yahG,-0.160169125,0.533289309
yahH,-1.159828203,0.000515554
yahI,0.24199355,0.608013081
yahJ,0.137171234,0.547368927
yahK,-1.504444074,2.4014E-15
yahM,1.04843533,0.204982885
yahN,1.567720711,6.05215E-10
yahO,1.020488425,1.1076E-07
prpR,0.118564802,0.668613459
prpB,-0.463405568,0.42802897
prpC,-0.264092162,0.628138608
prpD,-0.0645136,0.903186265
prpE,-0.312454197,0.388830369
codB,0.397444249,0.254735234
codA,0.080520434,0.725035261
cynR,-0.015496287,0.956172075
cynT,-0.444019061,0.296895157
cynS,0.344213536,0.547229273
cynX,-0.369258913,0.307939259
lacA,0.775705144,0.22615521
lacY,0.671291365,0.046268795
lacZ,0.494195922,0.022642128
lacI,0.324804237,0.149283777
mhpR,1.423779658,1.98762E-10
mhpA,-0.762622137,0.198990712
mhpB,0.072947846,0.925965895
mhpC,0.751288079,0.309710173
mhpD,-0.006588022,0.991179538
mhpF,-0.18446491,0.646543045
mhpE,-0.247559451,0.368744028
mhpT,0.163074696,0.58305615
yaiL,-0.62037835,0.006344694
frmB,-0.545363842,0.091873758
frmA,-0.223496558,0.26841216
frmR,-0.164972649,0.490197821
yaiO,0.16281509,0.616188473
insC1,0.236875747,0.355777289
insD1,0.228588126,0.345929871
yaiP,0.776764528,0.096844622
tauA,-0.001956388,0.997407583
tauB,0.042847059,0.94702308
tauC,0.629563039,0.271320583
tauD,0.392857164,0.235532531
hemB,0.521885516,0.038268543
ytiB,0.770438727,0.355202186
insF2,-0.267517707,0.304027993
insE2,0.56025793,0.104786162
ampH,0.107690397,0.666865963
sbmA,-0.066650361,0.817085652
yaiW,-0.175626544,0.442610635
yaiY,1.168334155,0.012866793
yaiZ,-0.637773094,0.028301603
ddlA,-0.375094139,0.087440545
iraP,1.242372877,0.000518548
phoA,0.754216167,0.009257906
psiF,0.226091019,0.260425353
dgcC,-0.33208179,0.339016766
proC,-0.604432062,0.002438245
yaiI,-0.228083038,0.403149383
aroL,0.020605916,0.917929857
yaiA,0.123721811,0.692038272
aroM,0.42560441,0.180426613
ppnP,0.869657202,3.45926E-05
rdgC,-0.1576305,0.497981931
mak,-0.435353291,0.03475472
araJ,-0.346801367,0.208506079
sbcC,-0.397484327,0.119072858
sbcD,-0.390344842,0.108989435
phoB,0.221926445,0.357245506
phoR,-0.199627699,0.426380834
brnQ,-0.148207388,0.447911414
proY,-0.15025042,0.525603416
malZ,-0.064517274,0.771691178
acpH,-0.218092045,0.362580376
queA,-0.185679076,0.467049431
tgt,-0.457656327,0.037363791
yajC,-0.365132948,0.183220549
secD,-0.123095115,0.531909675
secF,-0.639728778,0.007079654
yajD,-0.039213823,0.878834848
tsx,0.625342906,0.00599239
yajI,-0.457891095,0.155017659
nrdR,-0.586451712,0.004469444
ribD,-0.103025066,0.594489086
ribE,-0.066290587,0.765682985
nusB,-0.101195135,0.620524723
thiL,0.178032276,0.398949028
pgpA,-0.150997068,0.537306144
yajO,0.457224398,0.025002593
dxs,-0.051818281,0.796487503
ispA,-0.05108152,0.813132007
xseB,0.178701221,0.459924357
thiI,-0.405957096,0.068461818
yajL,-0.356351357,0.128728842
panE,0.338000316,0.118916303
yajQ,-0.878635415,2.01767E-05
yajR,-0.524521804,0.029039398
cyoE,0.891244955,0.002706202
cyoD,1.763683093,1.03711E-13
cyoC,1.750893993,3.575E-15
cyoB,1.954332604,6.1434E-20
cyoA,2.231869019,3.43922E-21
ampG,0.100567019,0.704612332
yajG,0.515767808,0.051084604
bolA,0.13568072,0.564178565
tig,-0.778497528,0.000126374
clpP,-0.084594477,0.720909408
clpX,-0.357820883,0.069106979
lon,-0.925107772,1.31701E-06
hupB,-0.554189782,0.059493048
ppiD,0.13960614,0.501265698
ybaV,0.477712218,0.114467149
fadM,1.283466944,0.002171765
queC,-0.15878398,0.506905841
ybaE,0.885914377,0.000105957
cof,-0.396378365,0.13178391
decR,0.689498664,0.006572001
mdlA,-0.181656534,0.485209296
mdlB,-0.294102552,0.241119208
amtB,-0.39361582,0.129695647
tesB,0.106697594,0.626872482
ybaY,0.102100044,0.597891904
ybaZ,0.339705219,0.240562433
ffs,-2.014742493,3.25826E-08
ybaA,-1.460441047,2.13274E-06
pdeB,-0.237898393,0.297113425
ylaC,1.281721902,1.23998E-07
maa,1.438503427,3.40578E-07
hha,3.598048725,1.56974E-34
tomB,3.010655024,7.44051E-46
acrB,0.330993362,0.092739962
acrA,0.874743298,0.000134255
acrR,-0.425217389,0.186648393
mscK,-0.288784376,0.185545707
ybaM,-0.201999424,0.608637214
priC,-0.320556345,0.177883836
ybaN,-0.385021843,0.158959174
apt,-0.197971036,0.487073153
dnaX,-0.38110091,0.064695441
ybaB,0.084578977,0.712164068
recR,-0.321730485,0.125273145
htpG,-0.941497854,4.59849E-06
adk,-0.426815053,0.113480194
hemH,-0.442195534,0.036539554
aes,0.047567443,0.8483449
gsk,-0.030183424,0.890658203
ybaL,-0.243376076,0.230206083
fsr,0.726833392,0.003914603
ushA,0.24584821,0.217764298
ybaK,0.023402456,0.928541839
ybaP,0.441728661,0.0491373
ybaQ,0.371288476,0.174623906
copA,0.074783964,0.69685607
glsA,0.00922303,0.960608751
ybaT,-0.762541871,0.00132821
cueR,0.318800782,0.205377434
ybbJ,0.134656843,0.586941611
qmcA,0.925884046,2.67693E-05
fetA,0.690363228,0.00820926
fetB,0.571369181,0.038990217
cnoX,-0.473996819,0.031459169
ybbO,0.623871226,0.013191346
tesA,-0.083326685,0.713328657
ybbA,-0.144669372,0.5282541
ybbP,-0.441210915,0.083743575
rhsD,-0.022437468,0.918373428
ylbG,0.303250007,0.383058374
selU,-0.243248115,0.338577749
allS,0.154228321,0.671148959
allA,-1.0991228,4.88771E-05
allR,-0.499789424,0.072458417
gcl,-0.618001642,0.012393754
hyi,-2.426420953,0.000211063
glxR,-1.315963088,0.009006404
ybbW,0.647890418,0.561550565
allB,0.871136261,0.02428054
ybbY,-0.285734284,0.511743717
glxK,0.308150262,0.380514731
allE,1.280937776,0.000422904
allC,1.346641728,0.000313101
allD,1.937205923,0.004998738
fdrA,0.330649219,0.598872891
ylbE,-0.645500282,0.08190464
ylbF,-0.341002793,0.421863592
ybcF,0.511240246,0.236903741
purK,-0.414068653,0.129732759
purE,-0.312806713,0.378862731
lpxH,-0.140911122,0.612791512
ppiB,-0.241508455,0.258102262
cysS,-0.607873298,0.011095701
ybcI,0.094653497,0.859160415
ybcJ,-0.026842812,0.959319692
folD,0.497469088,0.016309858
sfmA,-0.347005299,0.695235627
sfmD,1.2169583,0.065329134
intD,0.234379251,0.332969169
insE3,0.058840065,0.871253412
insF3,-0.253836583,0.333965911
emrE,-0.465063878,0.373630292
ybcL,0.976009363,0.083839444
ybcM,1.129826275,0.000464088
insH2,0.585334639,0.007129485
rrrD,-0.151899555,0.845240769
borD,-0.788270405,0.358172674
ybcW,0.31491587,0.655651008
ylcI,-0.633782895,0.122310658
nohD,0.265521717,0.612987979
tfaD,0.365671287,0.695069262
appY,-1.116912289,0.089683536
ompT,1.310809003,5.12581E-09
envY,0.479659879,0.330977832
ybcH,0.260733221,0.370184086
nfrA,0.195925264,0.33757174
nfrB,-0.405583183,0.080094576
cusS,-0.15148827,0.577119627
cusR,-0.947435205,0.000185007
cusC,0.926331168,0.080295733
cusB,0.587531255,0.280463794
cusA,-0.330769081,0.198144695
pheP,-0.6676436,0.010539131
ybdG,-0.14694148,0.538583508
nfsB,-0.43297678,0.045340239
ybdF,-0.356873669,0.228010204
ybdJ,-0.007126329,0.986219896
ybdK,-0.161308525,0.414246213
insL2,-0.363402732,0.096587312
entD,-0.093275491,0.88841648
fepA,-0.268168907,0.265278722
fes,-0.390746906,0.513682914
entF,-0.338704272,0.168572835
fepC,0.248818987,0.702484903
fepG,0.062215795,0.867356708
fepD,0.095634567,0.871549807
entS,-0.225635564,0.681848481
fepB,0.402927494,0.356565841
entC,1.460652669,0.131502636
entE,-0.241683702,0.392709404
entB,-0.120102403,0.776692008
entA,-0.367336646,0.211734857
entH,-0.098436032,0.855468329
cstA,1.312166324,2.67094E-10
ybdD,0.222857897,0.327674279
hcxA,0.290331667,0.145437057
ybdL,0.026905828,0.904745427
ybdM,0.701977014,0.099565912
ybdN,0.595625559,0.380323307
dsbG,0.236980194,0.32734941
ahpC,-0.352110803,0.112564194
ahpF,-0.509037712,0.010384838
uspG,0.70709785,0.000669653
ybdR,0.146149133,0.559951726
yldA,0.816821123,0.046523998
rnk,-0.065671361,0.808823519
rna,0.897331353,0.000676033
citT,0.489541277,0.229968109
citG,0.483062864,0.411325985
citX,0.600954085,0.313257374
citF,2.162989216,7.44301E-09
citE,1.142790314,0.001133313
citC,2.174191115,6.32308E-05
dpiB,-0.385680688,0.151004971
dpiA,-0.114636889,0.75693862
dcuC,1.108110214,0.000302229
pagP,0.385472198,0.290343817
cspE,-1.168565066,3.45183E-06
crcB,-0.504940402,0.065340565
tatE,-0.370655691,0.195521235
lipA,0.704466414,0.00187885
ybeF,0.336836137,0.556321234
lipB,-0.107123994,0.706589971
ybeD,-1.369016927,0.060151532
dacA,-0.061272751,0.793567908
rlpA,-0.034268623,0.867751608
mrdB,-0.364534155,0.110741426
mrdA,0.027818428,0.90920872
rlmH,0.169072304,0.527049271
rsfS,0.088082156,0.745980192
cobC,-0.089118843,0.797253263
nadD,-0.038099776,0.875591712
holA,-0.109948453,0.609160602
lptE,-0.027606204,0.913805168
leuS,-0.284971488,0.136613543
ybeL,0.035115751,0.860290818
ybeQ,-0.575462896,0.021972689
djlB,0.518671616,0.518316274
djlC,-0.007633312,0.985756962
hscC,0.423299221,0.252012799
rihA,1.040659477,7.80155E-07
gltL,1.468191336,2.24414E-08
gltK,0.98301044,0.000568684
gltJ,1.108819645,0.000135193
sroC,-2.131294109,3.19493E-09
gltI,1.154861966,6.78802E-09
insH3,0.654041048,0.004384702
lnt,-0.257719615,0.196779183
ybeX,-0.57797579,0.002908588
ybeY,-0.537095242,0.006824123
ybeZ,-0.18064687,0.369914097
miaB,-0.245327153,0.298023594
ubiF,-0.175825776,0.441764767
glnX,-0.672263384,0.023945728
glnV,-1.090891488,0.000952887
metU,-0.843823207,0.172175023
glnW,-0.13724445,0.650185904
glnU,0.004769295,0.989044641
leuW,-0.172909776,0.571692008
metT,-1.462581691,0.000152873
asnB,0.392831271,0.065838438
umpH,0.16709165,0.453893351
nagC,0.097973963,0.635612052
nagA,0.030667119,0.884972392
nagB,0.318720718,0.148347812
nagE,1.207811204,1.53881E-09
glnS,-0.528384498,0.008012523
chiP,1.319771393,0.011632324
chiQ,-0.263109044,0.535519064
fur,0.215661286,0.337170803
uof,0.025339767,0.943041753
fldA,-0.244907685,0.237033303
ybfE,0.243403055,0.621394048
ybfF,0.105837003,0.678678488
seqA,0.185754567,0.421880395
pgm,0.226017591,0.340278816
ybfP,3.343544745,0.039572674
potE,-0.223819365,0.462918248
speF,-0.052845593,0.918617953
kdpE,-0.271321242,0.257147499
kdpD,-0.317249821,0.104764962
kdpC,-1.03366068,0.00010197
kdpB,-0.09874177,0.726089045
kdpA,0.015910058,0.972809169
ybfA,-0.703294696,0.005644013
rhsC,-0.128133352,0.570916526
ybgA,0.07135531,0.78751299
phr,0.063675396,0.770852855
dtpD,-0.113275225,0.680895995
ybgI,-0.378326003,0.053526237
pxpB,-0.314010802,0.189900378
pxpC,0.113611943,0.591112639
pxpA,-0.125552855,0.543491869
nei,0.301152269,0.219660523
abrB,1.628492042,5.28229E-08
ybgO,-0.086425893,0.858628478
ybgP,0.246874982,0.718244123
ybgQ,0.413237137,0.405605232
gltA,1.508250465,6.52037E-12
ybgV,0.320781729,0.339275363
sdhC,1.233359476,4.26731E-10
sdhD,1.455272143,3.32807E-12
sdhA,1.081291106,1.70688E-08
sdhB,1.205926327,5.43151E-10
sucA,0.819130887,2.85716E-05
sucB,1.08627218,7.04836E-08
sucC,0.954897071,7.31807E-07
sucD,1.337468745,3.46887E-12
mngR,-0.158062468,0.660061246
mngA,0.383576171,0.468431533
mngB,0.106921625,0.652349221
cydA,0.030123713,0.875940558
cydB,0.136887642,0.472782695
cydX,0.176574385,0.502833164
ybgE,-0.664166552,0.003689328
ybgC,-0.958283307,0.000479331
tolQ,-0.148059063,0.521451441
tolR,-0.242043588,0.346317863
tolA,-0.808590822,0.000298277
tolB,-0.153784543,0.429270324
pal,0.115585452,0.609134413
cpoB,-0.245070145,0.229273894
lysT,-0.316881839,0.286609107
valT,-0.930797981,0.000723605
lysW,0.04298265,0.919607781
valZ,-1.230548264,0.000479872
lysY,-0.180160327,0.697949227
lysZ,-0.312539093,0.445207167
lysQ,-1.331037257,0.192421638
nadA,0.073801558,0.765732992
pnuC,-0.308152876,0.241374188
zitB,0.261971046,0.216780474
ybgS,-0.026013883,0.906498037
aroG,0.461264835,0.018528743
gpmA,-0.342557311,0.072802969
galM,0.044636159,0.824507059
galK,0.743717793,0.000327426
galT,0.959033619,0.000137303
galE,0.837201868,0.000148985
modF,0.316469449,0.149874132
modE,-0.058821118,0.791246323
acrZ,-0.722322002,0.060386678
modA,0.309696217,0.283665552
modB,0.180766355,0.484243308
modC,-0.392233993,0.098760507
ybhA,-0.022806561,0.932233868
pgl,-0.336189129,0.07920294
ybhD,-0.157998584,0.748584508
ybhJ,-0.264608467,0.418415806
ybhC,-0.858611055,0.000119589
ybhB,-0.723065912,0.000344781
bioA,-0.115615266,0.746638527
bioB,-0.406547376,0.236462624
bioF,-0.213356545,0.598879068
bioC,-0.349507297,0.529654116
bioD,-0.538926425,0.402518327
uvrB,-0.230501638,0.22650707
ybhK,-0.780075055,0.001183245
moaA,-0.418468812,0.049358373
moaB,-0.484090233,0.014230357
moaC,-0.12830167,0.579069183
moaD,-0.749370035,0.00038822
moaE,-0.241159219,0.238218548
ybhL,-0.024493212,0.90197504
ybhM,0.668703277,0.171875752
ybhN,-0.48146128,0.115404714
clsB,-0.152003291,0.459860138
ybhP,-0.472920802,0.021245014
ybhQ,-0.680007123,0.02341595
ybhR,0.436649379,0.084235486
ybhS,0.408656047,0.064978912
ybhF,0.402123932,0.040705861
ybhG,0.344870135,0.080546972
cecR,0.33223798,0.115580737
rhlE,0.056283333,0.835344424
ybiA,0.147942967,0.613921355
dinG,0.083926007,0.68815624
ybiB,0.366162182,0.067174379
hcxB,0.843322773,1.54912E-05
zbiJ,0.322126181,0.639229959
ybiJ,0.443874256,0.137308837
ybiI,-0.822444684,0.000267875
ybiX,-0.361688252,0.272776779
fiu,-0.230605721,0.37796005
mcbA,0.23552325,0.377449302
rlmF,0.389625331,0.089798768
ybiO,-0.822698039,8.4522E-05
glnQ,0.999061788,9.0069E-06
glnP,1.203297133,1.47067E-08
glnH,1.355324866,1.48333E-12
dps,-0.677820601,0.013721028
rhtA,-1.503804584,0.000173039
yliM,-1.034190388,0.007107519
ompX,-0.922547337,1.31923E-06
opgE,0.210673112,0.502184628
rybA,-0.196682977,0.639017889
mntR,-0.196239472,0.452706968
ybiR,-0.351920413,0.13821901
ldtB,0.086258853,0.697109459
ybiT,-0.197352907,0.34973106
ybiU,0.820572541,0.009176164
ybiV,0.14506278,0.706690101
ybiW,0.74928035,0.000555773
ybiY,0.390658866,0.164275034
fsaA,0.752904461,0.000638207
moeB,-0.299411559,0.248983778
moeA,-0.115511174,0.570962094
iaaA,0.098805909,0.617493931
gsiA,0.242965822,0.228871132
gsiB,0.27745012,0.167641263
gsiC,-0.146461427,0.639633577
gsiD,-0.236966106,0.434425653
pdeI,-0.942881724,0.064496204
dgcI,0.1744714,0.841981424
rimO,-0.235659317,0.450964585
bssR,-0.824877646,0.000145753
yliI,0.093168584,0.659597154
gstB,-0.101721285,0.655742832
dacC,0.118881022,0.532965539
deoR,0.069973202,0.771810052
ybjG,-0.216855815,0.474296735
mdfA,-0.154489435,0.589960259
ybjH,0.438451374,0.375218735
ybjI,-0.472188986,0.121962971
ybjJ,-0.427983798,0.130255648
rcdA,-0.464564991,0.155481709
ybjL,0.100543674,0.655477061
ybjM,-0.450577549,0.294831672
grxA,0.460074069,0.425202102
ybjC,-0.48755877,0.117430963
nfsA,0.59114448,0.007430171
rimK,0.056242207,0.795447022
ybjN,-0.420383528,0.125032786
potF,0.251734007,0.409529896
potG,0.221404387,0.576861436
potH,-0.083569691,0.86298657
potI,-0.518883555,0.082827371
ybjO,-0.461587326,0.162364991
rlmC,-0.212155789,0.415804811
artJ,0.529568362,0.16658595
artM,-0.000393547,0.998622154
artQ,-0.171240403,0.497545836
artI,0.270687875,0.193055366
