Module_ID	GO_ID	GO_desc	q-value
M1.1	GO:0006352	DNA-templated transcription, initiation	0.000000000000512616594436
M1.1	GO:0009408	response to heat	0.00744941190214
M1.1	GO:0009410	response to xenobiotic stimulus	0.0000266672807601
M1.1	GO:0009415	response to water	0.000941869308898
M1.29	GO:0019344	cysteine biosynthetic process	0.00818618449785
M15	GO:0006526	arginine biosynthetic process	0.00114187690826
M17	GO:0006694	steroid biosynthetic process	0.0104075561745
M17	GO:0006707	cholesterol catabolic process	0.0000987121059155
M27	GO:0009408	response to heat	0.0325114897862
