Gene_name	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component
Rv3034c	Rv3034c	887470	O53281	RVBD_3034c	acetyltransferase	Basal machinery
Rv3035	Rv3035	887842	I6XFZ8	RVBD_3035	hypothetical protein	Basal machinery
Rv3037c	Rv3037c	888640	P9WJZ3	RVBD_3037c	S-adenosylmethionine-dependent methyltransferase	Basal machinery
Rv3040c	Rv3040c	887672	O53287	RVBD_3040c	hypothetical protein	Basal machinery
Rv3041c	Rv3041c	887197	I6YF11	RVBD_3041c	ABC transporter ATP-binding protein	Basal machinery
Rv3046c	Rv3046c	888870	I6YF16	RVBD_3046c	hypothetical protein	Basal machinery
Rv3047c	Rv3047c	888898	I6X642	RVBD_3047c	hypothetical protein	Basal machinery
Rv3049c	Rv3049c	888894	I6Y2E2	RVBD_3049c	monooxygenase	M1.40
Rv3050c	Rv3050c	888866	I6XG13	RVBD_3050c	AsnC family transcriptional regulator	M1.40
Rv3054c	Rv3054c	887963	P95105	RVBD_3054c	hypothetical protein	Basal machinery
Rv3055	Rv3055	888882	P95103	RVBD_3055	TetR family transcriptional regulator	Basal machinery
Rv3057c	Rv3057c	888617	I6YB11	RVBD_3057c	short chain alcohol dehydrogenase/reductase	Basal machinery
Rv3058c	Rv3058c	888878	P95100	RVBD_3058c	TetR family transcriptional regulator	M11
Rv3060c	Rv3060c	888855	P95098	RVBD_3060c	GntR family transcriptional regulator	Basal machinery
Rv3064c	Rv3064c	888879	I6XG31	RVBD_3064c	integral membrane protein	Basal machinery
Rv3066	Rv3066	888847	I6X658	RVBD_3066	DeoR family transcriptional regulator	M1.7
Rv3067	Rv3067	888822	I6YB21	RVBD_3067,LH57_16745	hypothetical protein	Basal machinery
Rv3072c	Rv3072c	887175	P95086	RVBD_3072c	hypothetical protein	Basal machinery
Rv3073c	Rv3073c	888647	P9WL11	RVBD_3073c	hypothetical protein	Basal machinery
Rv3075c	Rv3075c	887178	I6YF40	RVBD_3075c	hypothetical protein	Basal machinery
Rv3076	Rv3076	888026	I6X666	RVBD_3076	hypothetical protein	Basal machinery
Rv3077	Rv3077	887419	Q6MX15	RVBD_3077	hydrolase	Basal machinery
Rv3079c	Rv3079c	888660	I6XG43	RVBD_3079c	hypothetical protein	Basal machinery
Rv3087	Rv3087	888653	P9WKB1	RVBD_3087	diacyglycerol O-acyltransferase	Basal machinery
Rv3093c	Rv3093c	888663	O05772	RVBD_3093c	oxidoreductase	Basal machinery
Rv3094c	Rv3094c	888661	O05773	RVBD_3094c	hypothetical protein	M8
Rv3095	Rv3095	888679	P9WMG3	RVBD_3095	HTH-type transcriptional regulator	M8
Rv3096	Rv3096	888678	I6YB54	RVBD_3096	hypothetical protein	Basal machinery
Rv3099c	Rv3099c	888674	O05777	RVBD_3099c	hypothetical protein	Basal machinery
Rv3104c	Rv3104c	888685	O05781	RVBD_3104c	transmembrane protein	Basal machinery
Rv3108	Rv3108	888686	O05785	RVBD_3108	hypothetical protein	Basal machinery
Rv3120	Rv3120	888828	O05796	RVBD_3120	hypothetical protein	Basal machinery
Rv3122	Rv3122	888890	O07033	RVBD_3122	hypothetical protein	Basal machinery
Rv3126c	Rv3126c	888806	P9WL09	RVBD_3126c	hypothetical protein	Basal machinery
Rv3127	Rv3127	888850	P9WL07	RVBD_3127	hypothetical protein	Basal machinery
Rv3128c	Rv3128c					Basal machinery
Rv3129	Rv3129	888901	P9WL05	RVBD_3129		Basal machinery
Rv3131	Rv3131	888838	P9WIZ7	RVBD_3131	NAD(P)H nitroreductase	M1.18
Rv3134c	Rv3134c	887558	P9WFD3	RVBD_3134c	universal stress protein	Basal machinery
Rv3142c	Rv3142c	887521	P95184	RVBD_3142c	hypothetical protein	M1.7
Rv3143	Rv3143	887576	P9WGL7	RVBD_3143	response regulator	M1.7
Rv3160c	Rv3160c	888797	O53310	RVBD_3160c	TetR family transcriptional regulator	M1.22
Rv3161c	Rv3161c	888800	O53311	RVBD_3161c	dioxygenase	Intermodular
Rv3162c	Rv3162c	888756	O53312	RVBD_3162c	integral membrane protein	Basal machinery
Rv3165c	Rv3165c	887661	O53315	RVBD_3165c	hypothetical protein	Basal machinery
Rv3167c	Rv3167c	888763	O53317	RVBD_3167c	TetR family transcriptional regulator	M1.20
Rv3172c	Rv3172c	888848	O53322	RVBD_3172c	hypothetical protein	Basal machinery
Rv3173c	Rv3173c	888844	O53323	RVBD_3173c	TetR/Acr family transcriptional regulator	M1.31
Rv3174	Rv3174	887989	O53324	RVBD_3174	short-chain dehydrogenase/reductase	M1.31
Rv3177	Rv3177	888766	O53327	RVBD_3177	peroxidase	M1.31
Rv3178	Rv3178	888786	O53328	RVBD_3178	nitroreductase	Basal machinery
Rv3179	Rv3179	887947	O53329	RVBD_3179	hypothetical protein	Basal machinery
Rv3188	Rv3188	888103	O53334	RVBD_3188	hypothetical protein	Basal machinery
Rv3191c	Rv3191c	887628	O53337	RVBD_3191c	transposase	Basal machinery
