id,NDA,Color
USA300HOU_pUSA300HOUMR0008,M5,#b1f99a
USA300HOU_0022,Basal machinery,#3fc66c
USA300HOU_0749,Basal machinery,#3fc66c
USA300HOU_pUSA300HOUMR0007,M5,#b1f99a
USA300HOU_1283,Intermodular,#1222b7
norB,M7,#d8ad41
Sauraur_010100001998,M4,#ce8e2d
lacG,M13,#eaf25c
Sauraur_010100001863,Basal machinery,#3fc66c
USA300HOU_1603,Basal machinery,#3fc66c
Sauraur_010100001519,Basal machinery,#3fc66c
USA300HOU_1230,Basal machinery,#3fc66c
USA300HOU_0731,Basal machinery,#3fc66c
USA300HOU_0730,Basal machinery,#3fc66c
USA300HOU_0734,Basal machinery,#3fc66c
USA300HOU_1343,Basal machinery,#3fc66c
USA300HOU_1349,Basal machinery,#3fc66c
USA300HOU_1192,Basal machinery,#3fc66c
ureB,Basal machinery,#3fc66c
ureC,Basal machinery,#3fc66c
USA300HOU_0933,M4,#ce8e2d
ureA,Basal machinery,#3fc66c
ureF,Basal machinery,#3fc66c
ureG,Basal machinery,#3fc66c
ureD,Basal machinery,#3fc66c
ureE,Basal machinery,#3fc66c
Sauraur_010100010926,M7,#d8ad41
Sauraur_010100015122,Basal machinery,#3fc66c
fhs,Basal machinery,#3fc66c
USA300HOU_2542,Basal machinery,#3fc66c
Sauraur_010100006761,M12.1,#f49846
Sauraur_010100010031,Basal machinery,#3fc66c
Sauraur_010100000939,Basal machinery,#3fc66c
USA300HOU_2532,Intermodular,#1222b7
USA300HOU_2531,Intermodular,#1222b7
USA300HOU_2534,M12.4,#afffef
splA,Basal machinery,#3fc66c
splC,Basal machinery,#3fc66c
splB,Basal machinery,#3fc66c
splE,Basal machinery,#3fc66c
splD,Basal machinery,#3fc66c
splF,Basal machinery,#3fc66c
USA300HOU_2645,Basal machinery,#3fc66c
USA300HOU_2646,M12.2,#efb4a7
USA300HOU_2643,Basal machinery,#3fc66c
USA300HOU_1862,Basal machinery,#3fc66c
Sauraur_010100007853,Basal machinery,#3fc66c
Sauraur_010100009025,M4,#ce8e2d
Sauraur_010100007673,Intermodular,#1222b7
Sauraur_010100007858,Basal machinery,#3fc66c
Sauraur_010100006276,Basal machinery,#3fc66c
Sauraur_010100006271,Basal machinery,#3fc66c
USA300HOU_nc0020,M12.1,#f49846
Sauraur_010100007073,Basal machinery,#3fc66c
USA300HOU_2382,Intermodular,#1222b7
USA300HOU_2383,Intermodular,#1222b7
Sauraur_010100011772,Basal machinery,#3fc66c
USA300HOU_2368,Global regulator,#b55920
Sauraur_010100003177,Global regulator,#b55920
Sauraur_010100006416,Basal machinery,#3fc66c
USA300HOU_1233,Basal machinery,#3fc66c
Sauraur_010100008830,Basal machinery,#3fc66c
Sauraur_010100006826,M12.1,#f49846
Sauraur_010100011003,M12.1,#f49846
Sauraur_010100009736,Basal machinery,#3fc66c
Sauraur_010100002425,M12.7,#bdf481
gcvPB,Basal machinery,#3fc66c
Sauraur_010100014735,M12.1,#f49846
Sauraur_010100014730,M12.1,#f49846
Sauraur_010100014857,Basal machinery,#3fc66c
Sauraur_010100008125,Basal machinery,#3fc66c
arcR,M12.1,#f49846
USA300HOU_0401,Basal machinery,#3fc66c
USA300HOU_0404,Basal machinery,#3fc66c
Sauraur_010100015107,Basal machinery,#3fc66c
USA300HOU_0621,Basal machinery,#3fc66c
USA300HOU_0234,Basal machinery,#3fc66c
USA300HOU_0622,Global regulator,#b55920
Sauraur_010100012584,Basal machinery,#3fc66c
USA300HOU_0233,Basal machinery,#3fc66c
Sauraur_010100013918,M12.1,#f49846
Sauraur_010100004132,M12.1,#f49846
USA300HOU_0238,M12.1,#f49846
