Node	AbsOutCoh	AbsInCoh	NodeLevel	Network	FracInCoh	FracOutCoh	Diff_InOutCoh	TotCoh
SCO5583	0.0	7.117440990028916	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	7.117440990028916
SCO4768	0.0	3.1174409900289164	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	3.1174409900289164
ureA	0.0	7.117440990028916	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	7.117440990028916
glnA	0.0	7.117440990028916	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	7.117440990028916
dmdR1	1.0	0.0	Input	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.0	1.0	-1.0	1.0
SCO2782	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO3361	4.032347139700512	0.3678794411714786	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.08360465862614196	0.916395341373858	-0.8327906827477161	4.4002265808719905
SCO3362	0.0	0.3678794411714786	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	0.3678794411714786
amfC	0.0	0.3678794411714786	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	0.3678794411714786
sigB	0.7357588823429572	0.7357588823429572	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.5	0.5	0.0	1.4715177646859143
SCO0666	0.0	0.8800453161743982	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	0.8800453161743982
sigE	10.0	0.0	Input	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.0	1.0	-1.0	10.0
dagA	0.0	4.117440990028916	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	4.117440990028916
whiB	0.0	6.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	6.0
hrdD	8.0	4.0	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.3333333333333333	0.6666666666666667	-0.3333333333333334	12.0
sigF	1.0	1.0	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.5	0.5	0.0	2.0
SCO5321	0.0	3.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	3.0
SCO1276	0.0	2.1174409900289164	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	2.1174409900289164
SCO1541	0.0	3.1174409900289164	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	3.1174409900289164
actIII	0.0	16.795540502543048	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	16.795540502543048
sigR	30.915310040202677	3.0	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.08845562657230163	0.9115443734276983	-0.8230887468553967	33.91531004020268
lon	0.0	3.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	3.0
mca	0.0	3.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	3.0
trxA	0.0	3.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	3.0
trxB	0.0	3.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	3.0
