Gene_name	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component
Sauraur_010100000069	Sauraur_010100000069				UDP-glucose 4-epimerase	Basal machinery
Sauraur_010100000149	Sauraur_010100000149				lipoprotein	Basal machinery
Sauraur_010100000154	Sauraur_010100000154				siderophore transport protein	Basal machinery
Sauraur_010100000159	Sauraur_010100000159				iron (Fe3+) ABC superfamily ATP binding cassette transporter, membrane protein	Basal machinery
Sauraur_010100000164	Sauraur_010100000164				hypothetical protein	M12.2
Sauraur_010100000169	Sauraur_010100000169				immunoglobulin G binding protein A	Intermodular
Sauraur_010100000409	Sauraur_010100000409				hypothetical protein	M6
Sauraur_010100000584	Sauraur_010100000584				glyoxalase/bleomycin resistance protein/dioxygenase superfamily protein	Basal machinery
Sauraur_010100000649	Sauraur_010100000649				staphylococcal respiratory response protein, SrrB	M12.1
Sauraur_010100000654	Sauraur_010100000654				response regulator protein	M12.1
Sauraur_010100000689	Sauraur_010100000689				Fur family transcriptional regulator	Global regulator
Sauraur_010100000939	Sauraur_010100000939				alkaline shock protein 23	Basal machinery
Sauraur_010100000944	Sauraur_010100000944				hypothetical membrane protein	Basal machinery
Sauraur_010100000949	Sauraur_010100000949				probable membrane-bound oxidoreductase	Basal machinery
Sauraur_010100000954	Sauraur_010100000954				BCCT family betaine/carnitine/choline transporter	Basal machinery
Sauraur_010100000974	Sauraur_010100000974				6-phospho-beta-galactosidase	M13
Sauraur_010100000979	Sauraur_010100000979				PTS system, lactose-specific IIBC component	M13
Sauraur_010100000984	Sauraur_010100000984				PTS family lactose-N,N-diacetylchitobiose-beta-glucoside (lac) porter component IIA	M13
Sauraur_010100001014	Sauraur_010100001014				lactose phosphotransferase system repressor	M13
Sauraur_010100001089	Sauraur_010100001089				hypothetical protein	Basal machinery
Sauraur_010100001094	Sauraur_010100001094				acetolactate decarboxylase	Intermodular
Sauraur_010100001099	Sauraur_010100001099				acetolactate synthase	Intermodular
Sauraur_010100001439	Sauraur_010100001439				beta-lactamase	Basal machinery
Sauraur_010100001519	Sauraur_010100001519				micrococcal nuclease A	Basal machinery
Sauraur_010100001549	Sauraur_010100001549				adenylosuccinate synthase	Basal machinery
Sauraur_010100001644	Sauraur_010100001644				hypothetical protein	Basal machinery
Sauraur_010100001733	Sauraur_010100001733				hypothetical bacteriophage protein	Basal machinery
Sauraur_010100001813	Sauraur_010100001813				staphylokinase	Basal machinery
Sauraur_010100001858	Sauraur_010100001858				beta-hemolysin	M12.1
