id,NDA,Color
CGSSp9BS68_06120,Basal machinery,#93f48d
CGSSp9BS68_06125,Basal machinery,#93f48d
CGSSp9BS68_09087,Basal machinery,#93f48d
CGSSp9BS68_11085,Basal machinery,#93f48d
CGSSp9BS68_04495,Basal machinery,#93f48d
CGSSp9BS68_04550,Basal machinery,#93f48d
CGSSp9BS68_11165,M4,#c6eeff
CGSSp9BS68_04555,Basal machinery,#93f48d
CGSSp9BS68_05220,Basal machinery,#93f48d
CGSSp9BS68_01513,M2,#d82f7e
CGSSp9BS68_02633,Intermodular,#f7b7de
CGSSp9BS68_04043,Basal machinery,#93f48d
CGSSp9BS68_03823,Basal machinery,#93f48d
CGSSp9BS68_07527,Basal machinery,#93f48d
CGSSp9BS68_02028,Basal machinery,#93f48d
CGSSp9BS68_02143,Basal machinery,#93f48d
CGSSp9BS68_03693,Basal machinery,#93f48d
CGSSp9BS68_05708,Basal machinery,#93f48d
CGSSp9BS68_05703,Basal machinery,#93f48d
CGSSp9BS68_10845,M5,#ffe2b2
CGSSp9BS68_10840,M5,#ffe2b2
CGSSp9BS68_03028,Basal machinery,#93f48d
CGSSp9BS68_08147,M6.1,#d2bcf4
CGSSp9BS68_09631,Basal machinery,#93f48d
acpP,Basal machinery,#93f48d
CGSSp9BS68_11992,Global regulator,#6cd361
hrcA,M2,#d82f7e
CGSSp9BS68_09546,Basal machinery,#93f48d
dnaA,M6.2,#b640e5
CGSSp9BS68_03623,Basal machinery,#93f48d
CGSSp9BS68_08312,M2,#d82f7e
trmB,Basal machinery,#93f48d
CGSSp9BS68_03983,Basal machinery,#93f48d
CGSSp9BS68_10980,Basal machinery,#93f48d
CGSSp9BS68_10985,Basal machinery,#93f48d
CGSSp9BS68_11195,M4,#c6eeff
CGSSp9BS68_11190,M4,#c6eeff
CGSSp9BS68_01998,Basal machinery,#93f48d
CGSSp9BS68_02003,Basal machinery,#93f48d
CGSSp9BS68_08927,Basal machinery,#93f48d
CGSSp9BS68_02768,Basal machinery,#93f48d
CGSSp9BS68_01463,Global regulator,#6cd361
CGSSp9BS68_02763,Basal machinery,#93f48d
CGSSp9BS68_05723,Basal machinery,#93f48d
CGSSp9BS68_03008,Basal machinery,#93f48d
CGSSp9BS68_06932,Basal machinery,#93f48d
CGSSp9BS68_03003,Basal machinery,#93f48d
CGSSp9BS68_09611,Basal machinery,#93f48d
rpsH,Basal machinery,#93f48d
CGSSp9BS68_00917,Basal machinery,#93f48d
CGSSp9BS68_11330,M6.2,#b640e5
CGSSp9BS68_12057,Basal machinery,#93f48d
CGSSp9BS68_05345,Basal machinery,#93f48d
CGSSp9BS68_10620,Basal machinery,#93f48d
CGSSp9BS68_04345,Basal machinery,#93f48d
CGSSp9BS68_07087,Basal machinery,#93f48d
CGSSp9BS68_00442,M6.1,#d2bcf4
CGSSp9BS68_08332,Basal machinery,#93f48d
CGSSp9BS68_03063,M1,#c4313a
CGSSp9BS68_01768,Basal machinery,#93f48d
CGSSp9BS68_07017,M7,#6572c6
CGSSp9BS68_09985,Basal machinery,#93f48d
CGSSp9BS68_07012,M7,#6572c6
CGSSp9BS68_04815,Basal machinery,#93f48d
CGSSp9BS68_04810,Basal machinery,#93f48d
CGSSp9BS68_06712,Basal machinery,#93f48d
CGSSp9BS68_02048,Basal machinery,#93f48d
ppnK,Basal machinery,#93f48d
CGSSp9BS68_05185,Basal machinery,#93f48d
CGSSp9BS68_02668,Basal machinery,#93f48d
CGSSp9BS68_04510,Basal machinery,#93f48d
CGSSp9BS68_02663,Basal machinery,#93f48d
CGSSp9BS68_09117,Basal machinery,#93f48d
CGSSp9BS68_09112,Basal machinery,#93f48d
CGSSp9BS68_10800,Basal machinery,#93f48d
CGSSp9BS68_10805,Basal machinery,#93f48d
CGSSp9BS68_09771,Basal machinery,#93f48d
fabZ,Basal machinery,#93f48d
CGSSp9BS68_05646,M3,#69cc35
fabG,Basal machinery,#93f48d
eno,Basal machinery,#93f48d
CGSSp9BS68_05641,M3,#69cc35
CGSSp9BS68_10650,Basal machinery,#93f48d
CGSSp9BS68_06942,M6.1,#d2bcf4
CGSSp9BS68_09132,Basal machinery,#93f48d
CGSSp9BS68_06947,M6.1,#d2bcf4
CGSSp9BS68_05240,Basal machinery,#93f48d
CGSSp9BS68_02913,Basal machinery,#93f48d
prsA,Basal machinery,#93f48d
CGSSp9BS68_02508,Basal machinery,#93f48d
CGSSp9BS68_00947,Basal machinery,#93f48d
CGSSp9BS68_04545,Basal machinery,#93f48d
CGSSp9BS68_03208,Basal machinery,#93f48d
CGSSp9BS68_01423,Basal machinery,#93f48d
CGSSp9BS68_10975,Basal machinery,#93f48d
CGSSp9BS68_01428,Basal machinery,#93f48d
CGSSp9BS68_09891,Basal machinery,#93f48d
CGSSp9BS68_06320,Basal machinery,#93f48d
CGSSp9BS68_10370,Basal machinery,#93f48d
CGSSp9BS68_06325,M7,#6572c6
CGSSp9BS68_02038,Basal machinery,#93f48d
CGSSp9BS68_02133,Basal machinery,#93f48d
CGSSp9BS68_10085,Basal machinery,#93f48d
CGSSp9BS68_07537,Basal machinery,#93f48d
CGSSp9BS68_05718,Basal machinery,#93f48d
CGSSp9BS68_02043,Basal machinery,#93f48d
CGSSp9BS68_05713,Basal machinery,#93f48d
CGSSp9BS68_10700,Global regulator,#6cd361
CGSSp9BS68_00862,Global regulator,#6cd361
CGSSp9BS68_06600,Basal machinery,#93f48d
CGSSp9BS68_11987,Basal machinery,#93f48d
CGSSp9BS68_06130,Basal machinery,#93f48d
CGSSp9BS68_11982,M2,#d82f7e
CGSSp9BS68_07407,Basal machinery,#93f48d
