Gene_name	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component
CGSSp9BS68_04555	CGSSp9BS68_04555				thiamine biosynthesis protein ApbE, putative	Basal machinery
CGSSp9BS68_04570	CGSSp9BS68_04570				pyridoxine biosynthesis protein	Basal machinery
CGSSp9BS68_04750	CGSSp9BS68_04750				hydroxyethylthiazole kinase	Basal machinery
CGSSp9BS68_04800	CGSSp9BS68_04800				ABC transporter, ATP-binding protein	Basal machinery
CGSSp9BS68_04805	CGSSp9BS68_04805				hypothetical protein	Basal machinery
CGSSp9BS68_04810	CGSSp9BS68_04810				lipoprotein, putative	Basal machinery
CGSSp9BS68_04815	CGSSp9BS68_04815				hypothetical protein	Basal machinery
CGSSp9BS68_05080	CGSSp9BS68_05080				DNA-binding response regulator	M6.1
CGSSp9BS68_05120	CGSSp9BS68_05120				isopentenyl pyrophosphate isomerase	M7
CGSSp9BS68_05185	CGSSp9BS68_05185				oligopeptide ABC transporter, oligopeptide-binding protein AliA	Basal machinery
CGSSp9BS68_05220	CGSSp9BS68_05220				branched-chain amino acid aminotransferase	Basal machinery
CGSSp9BS68_05240	CGSSp9BS68_05240				pyrrolidone-carboxylate peptidase	Basal machinery
CGSSp9BS68_05345	CGSSp9BS68_05345				hypothetical protein	Basal machinery
CGSSp9BS68_05541	CGSSp9BS68_05541				L-lactate dehydrogenase	Basal machinery
CGSSp9BS68_05571	CGSSp9BS68_05571				sensory box sensor histidine kinase	Basal machinery
CGSSp9BS68_05576	CGSSp9BS68_05576				DNA-binding response regulator	Global regulator
CGSSp9BS68_05641	CGSSp9BS68_05641				amino acid ABC transporter, amino acid-binding protein/permease protein	M3
CGSSp9BS68_05646	CGSSp9BS68_05646				excinuclease ABC subunit B	M3
CGSSp9BS68_05651	CGSSp9BS68_05651				glucose-6-phosphate 1-dehydrogenase	M3
CGSSp9BS68_05698	CGSSp9BS68_05698				DNA processing protein DprA, putative	Basal machinery
CGSSp9BS68_05703	CGSSp9BS68_05703				CTP:phosphocholine cytidylyltransferase	Basal machinery
CGSSp9BS68_05708	CGSSp9BS68_05708				protein LicB	Basal machinery
CGSSp9BS68_05713	CGSSp9BS68_05713				choline kinase	Basal machinery
CGSSp9BS68_05718	CGSSp9BS68_05718				alcohol dehydrogenase, zinc-containing	Basal machinery
CGSSp9BS68_05723	CGSSp9BS68_05723				2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	Basal machinery
CGSSp9BS68_06035	CGSSp9BS68_06035				DNA-binding response regulator	Global regulator
CGSSp9BS68_06120	CGSSp9BS68_06120				PTS system, IIC component, putative	Basal machinery
CGSSp9BS68_06125	CGSSp9BS68_06125				PTS system, IIB component, putative	Basal machinery
CGSSp9BS68_06130	CGSSp9BS68_06130				PTS system IIA component, putative	Basal machinery
CGSSp9BS68_06235	CGSSp9BS68_06235				dipeptidase PepV	Basal machinery
CGSSp9BS68_06320	CGSSp9BS68_06320				fructose-1,6-bisphosphate aldolase, class II	Basal machinery
CGSSp9BS68_06325	CGSSp9BS68_06325				sensor histidine kinase VncS	M7
CGSSp9BS68_06600	CGSSp9BS68_06600				hypothetical protein	Basal machinery
CGSSp9BS68_06667	CGSSp9BS68_06667				transcriptional activator, putative	M6.1
CGSSp9BS68_06712	CGSSp9BS68_06712				transcriptional regulator	Basal machinery
CGSSp9BS68_06927	CGSSp9BS68_06927				galactose-1-phosphate uridylyltransferase	Basal machinery
CGSSp9BS68_06932	CGSSp9BS68_06932				galactokinase	Basal machinery
CGSSp9BS68_06942	CGSSp9BS68_06942				alcohol dehydrogenase, zinc-containing	M6.1
CGSSp9BS68_06947	CGSSp9BS68_06947				transcriptional regulator, MerR family protein	M6.1
CGSSp9BS68_06952	CGSSp9BS68_06952				cation efflux system protein	M6.1
CGSSp9BS68_06957	CGSSp9BS68_06957				transcriptional regulator, TetR family protein	M6.1
CGSSp9BS68_07012	CGSSp9BS68_07012				iron-compound ABC transporter, permease protein	M7
CGSSp9BS68_07017	CGSSp9BS68_07017				iron-compound ABC transporter, permease protein	M7
CGSSp9BS68_07022	CGSSp9BS68_07022				iron-compound ABC transporter, ATP-binding protein	M7
CGSSp9BS68_07027	CGSSp9BS68_07027				galactokinase	M7
CGSSp9BS68_07087	CGSSp9BS68_07087				hypothetical protein	Basal machinery
CGSSp9BS68_07407	CGSSp9BS68_07407				protease maturation protein, putative	Basal machinery
CGSSp9BS68_07527	CGSSp9BS68_07527				hypothetical protein	Basal machinery
CGSSp9BS68_07537	CGSSp9BS68_07537				hypothetical protein	Basal machinery
CGSSp9BS68_07542	CGSSp9BS68_07542				competence protein CelB	Basal machinery
CGSSp9BS68_07547	CGSSp9BS68_07547				competence protein CelA	Basal machinery
CGSSp9BS68_07957	CGSSp9BS68_07957				glutamine synthetase, type I	M3
CGSSp9BS68_07962	CGSSp9BS68_07962				transcriptional regulator, MerR family protein	M3
