MAN_Code,Topology_Class,Circuit,Motif_Size,Level_String,Num_Input_Nodes,Num_Middle_Nodes,Num_Output_Nodes,NDA_String,Num_Unique_NDAs,Team_String,Num_Unique_Teams,TF_String,Num_TFs,Count
010,Feed-Forward,010-N0,2,Middle_Output,0,1,1,Global regulator : Basal machinery,2,23_1,2,TF_NonTF,1,36
010,Feed-Forward,010-N0,2,Middle_Output,0,1,1,Global regulator : Basal machinery,2,15_1,2,TF_NonTF,1,29
010,Feed-Forward,010-N0,2,Middle_Output,0,1,1,Global regulator : Basal machinery,2,7_1,2,TF_NonTF,1,27
010,Feed-Forward,010-N0,2,Middle_Output,0,1,1,Global regulator : Basal machinery,2,46_1,2,NonTF_NonTF,0,24
010,Feed-Forward,010-N0,2,Middle_Output,0,1,1,M37.38 : M37.38,2,75_1,2,TF_NonTF,1,16
010,Feed-Forward,010-N0,2,Middle_Output,0,1,1,Global regulator : M37.1,2,7_1,2,TF_NonTF,1,15
010,Feed-Forward,010-N0,2,Middle_Output,0,1,1,Global regulator : Basal machinery,2,29_1,2,TF_NonTF,1,14
010,Feed-Forward,010-N0,2,Middle_Output,0,1,1,Global regulator : Basal machinery,2,69_1,2,TF_NonTF,1,14
010,Feed-Forward,010-N0,2,Middle_Output,0,1,1,Global regulator : M37.1,2,14_4,2,TF_NonTF,1,12
010,Feed-Forward,010-N0,2,Middle_Output,0,1,1,Global regulator : Basal machinery,2,7_2,2,TF_NonTF,1,11
010,Feed-Forward,010-N0,2,Middle_Output,0,1,1,Global regulator : Basal machinery,2,69_2,2,TF_NonTF,1,10
010,Feed-Forward,010-N0,2,Middle_Output,0,1,1,M37.1 : M37.1,2,5_1,2,TF_NonTF,1,9
010,Feed-Forward,010-N0,2,Input_Output,1,0,1,M11 : M11,2,2_1,2,NonTF_NonTF,0,8
010,Feed-Forward,010-N0,2,Middle_Output,0,1,1,Global regulator : Intermodular,2,21_4,2,TF_NonTF,1,8
010,Feed-Forward,010-N0,2,Middle_Output,0,1,1,Global regulator : Intermodular,2,23_1,2,TF_NonTF,1,8
010,Feed-Forward,010-N0,2,Middle_Output,0,1,1,Global regulator : Intermodular,2,29_1,2,TF_NonTF,1,8
010,Feed-Forward,010-N0,2,Middle_Output,0,1,1,Global regulator : Intermodular,2,7_1,2,TF_NonTF,1,8
010,Feed-Forward,010-N0,2,Middle_Output,0,1,1,M18 : M18,2,51_1,2,NonTF_NonTF,0,8
010,Feed-Forward,010-N0,2,Middle_Output,0,1,1,Global regulator : Basal machinery,2,29_2,2,TF_NonTF,1,7
010,Feed-Forward,010-N0,2,Middle_Output,0,1,1,Global regulator : Intermodular,2,23_5,2,TF_NonTF,1,7
010,Feed-Forward,010-N0,2,Middle_Output,0,1,1,Global regulator : M37.1,2,15_1,2,TF_NonTF,1,7
010,Feed-Forward,010-N0,2,Middle_Output,0,1,1,Global regulator : M37.17,2,69_5,2,TF_NonTF,1,7
