Network,Graph_Type,Topology_Class,MAN_Code,Count,Proportion,Empirical_P_Value_Count,Empirical_P_Value_Proportion,Z_Score_Count,Z_Score_Proportion,Random_Proportion_1,Random_Proportion_2,Random_Proportion_3,Random_Proportion_4,Random_Proportion_5,Random_Proportion_6,Random_Proportion_7,Random_Proportion_8,Random_Proportion_9,Random_Proportion_10,Random_Proportion_11,Random_Proportion_12,Random_Proportion_13,Random_Proportion_14,Random_Proportion_15,Random_Proportion_16,Random_Proportion_17,Random_Proportion_18,Random_Proportion_19,Random_Proportion_20,Random_Proportion_21,Random_Proportion_22,Random_Proportion_23,Random_Proportion_24,Random_Proportion_25,Random_Proportion_26,Random_Proportion_27,Random_Proportion_28,Random_Proportion_29,Random_Proportion_30,Random_Proportion_31,Random_Proportion_32,Random_Proportion_33,Random_Proportion_34,Random_Proportion_35,Random_Proportion_36,Random_Proportion_37,Random_Proportion_38,Random_Proportion_39,Random_Proportion_40,Random_Proportion_41,Random_Proportion_42,Random_Proportion_43,Random_Proportion_44,Random_Proportion_45,Random_Proportion_46,Random_Proportion_47,Random_Proportion_48,Random_Proportion_49,Random_Proportion_50
196627_v2020_s21_regNetwork_Strong,Topo,Feed-Forward,111D,3.0,0.0007015902712815716,0.0,0.0,18.898867415001956,18.898867415001956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002605523710265763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196627_v2020_s21_regNetwork_Strong,Topo,Feed-Forward,030T,93.0,0.02174929840972872,0.0,0.0,10.034865412735954,10.034865412735954,0.005413533834586466,0.005068102629078239,0.008177868642984922,0.007312614259597807,0.009847110650427572,0.0068511921074266915,0.005619556055071649,0.006961849067112225,0.010161386730424386,0.008840075006697028,0.004418668876001105,0.006271230729030572,0.006601607347876005,0.00481859410430839,0.005707419645539201,0.006654567453115547,0.005257332595462091,0.005698005698005697,0.006510416666666667,0.008337675872850442,0.005292405398253507,0.0073654390934844195,0.007231703789412786,0.007010656197420079,0.007719714964370546,0.007758620689655172,0.010020630710285881,0.005374644325007904,0.006280331144733086,0.008050603795284647,0.007361601884570082,0.005677610466551469,0.006544859558221979,0.007417218543046358,0.006881948120698783,0.004367934224049332,0.0049532195927352776,0.0062624537432393965,0.007183478000598624,0.007305194805194804,0.004377006127808579,0.004876649454962708,0.006967741935483871,0.005100739607243051,0.00842548709847288,0.006182795698924732,0.0058432934926958835,0.004596527068437181,0.0032267527134056907,0.007275902211874272
196627_v2020_s21_regNetwork_Strong,Topo,Complete,100,3.0,0.0007015902712815716,0.0,0.0,9.057567232398737,9.057567232398737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002605523710265763,0.0,0.0,0.0002892681515765114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025693730729701953,0.0,0.0,0.0,0.0,0.0,0.00028686173264486515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196627_v2020_s21_regNetwork_Strong,Topo,Feed-Forward,111U,73.0,0.01707202993451824,0.0,0.0,4.588906710474839,4.588906710474839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012245961438249088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017985611510791368,0.0,0.0,0.0,0.0,0.0,0.014056224899598395,0.008258064516129033,0.0,0.0002632964718272775,0.006182795698924732,0.0,0.0,0.01408037547667938,0.0
196627_v2020_s21_regNetwork_Strong,Topo,Feed-Forward,120U,11.0,0.0025724976613657625,0.04,0.04,3.0765008388502713,3.0765008388502713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028387096774193546,0.0,0.0,0.004838709677419355,0.0,0.0,0.0,0.0
196627_v2020_s21_regNetwork_Strong,Topo,Feed-Forward,021U,86.0,0.020112254443405052,0.14,0.14,1.0680365198877249,1.0680365198877249,0.0162406015037594,0.020905923344947737,0.009200102223358039,0.016453382084095067,0.013734128012438455,0.012058098109070978,0.01713964596796853,0.014202172096908938,0.01105797967722654,0.008572193945888026,0.011875172604252969,0.013326365299189964,0.013777267508610792,0.016439909297052156,0.01742264944427756,0.013611615245009074,0.015218594355285003,0.011137011137011136,0.0140625,0.011203751954142784,0.013495633765546442,0.028328611898016998,0.013884871275672547,0.013460459899046552,0.019299287410926368,0.021551724137931036,0.020335985853227233,0.01833702181473285,0.019697402226662858,0.01897642323174238,0.015017667844522967,0.013330041964946927,0.018816471229888193,0.012185430463576159,0.013499205929062997,0.012846865364850977,0.02146395156851954,0.01651010532308568,0.014366956001197247,0.01542207792207792,0.01371461920046688,0.01921973608720597,0.01161290322580645,0.013006885998469778,0.022906793048973143,0.018548387096774192,0.019123505976095617,0.010980592441266599,0.023760633616896447,0.018626309662398137
196627_v2020_s21_regNetwork_Strong,Topo,Cyclic,030C,0.0,0.0,1.0,1.0,-0.20201707447470713,-0.20201707447470713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028328611898016995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027056277056277056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196627_v2020_s21_regNetwork_Strong,Topo,Feed-Forward,021C,40.0,0.009354536950420954,0.82,0.82,-0.9001675533424459,-0.9001675533424459,0.020150375939849623,0.012036743744060819,0.01073345259391771,0.01279707495429616,0.008551438196423945,0.011784050424773911,0.011801067715650464,0.017265385686438317,0.014943215780035863,0.012858290918832038,0.0115990057995029,0.009668147373922131,0.008897818599311137,0.011904761904761904,0.010513667768098528,0.017846339987900785,0.010514665190924182,0.009842009842009843,0.008072916666666666,0.011203751954142784,0.010055570256681662,0.025495750708215296,0.014463407578825572,0.015703869882220976,0.0166270783847981,0.01982758620689655,0.020041261420571766,0.009168510907366423,0.01512988866685698,0.014663599769982749,0.012073027090694934,0.00740557886941496,0.01636214889555495,0.00847682119205298,0.013499205929062997,0.014131551901336074,0.01953769950467804,0.0059777967549103335,0.020353187668362766,0.011904761904761904,0.015465421651590313,0.007458405048766495,0.008,0.013771996939556235,0.010795155344918378,0.009408602150537635,0.014608233731739709,0.010980592441266599,0.012026987386330302,0.020081490104772993
196627_v2020_s21_regNetwork_Strong,Topo,Feed-Forward,021D,3680.0,0.8606173994387278,0.98,0.98,-2.231829068517877,-2.231829068517877,0.8718796992481203,0.8679125752296484,0.8972655251725019,0.8913554452859755,0.8883130344648873,0.8925733077555495,0.8817083450407418,0.8794207741576163,0.8786610878661087,0.8909724082507366,0.8939519469759736,0.8928664750457278,0.8886337543053962,0.8869047619047619,0.8798437969360168,0.8732607380520265,0.8918096292197012,0.8961408961408961,0.89453125,0.8809275664408547,0.8957396136544059,0.8575070821529744,0.8796644489441712,0.8827818283791362,0.8723277909738717,0.868103448275862,0.865016209843796,0.8757508694277585,0.8801027690550958,0.8766532489936745,0.8792697290930507,0.8992841273759566,0.8761930733569675,0.8966887417218543,0.8906829010058233,0.8895169578622817,0.8767198679141441,0.8941076003415884,0.8742891349895241,0.8898809523809523,0.8824044353662095,0.8749282845668388,0.8879999999999999,0.8893139505228258,0.8825697735650342,0.878494623655914,0.8833997343957503,0.8965781409601634,0.864476386036961,0.8701979045401629
196627_v2020_s21_regNetwork_Strong,Topo,Feed-Forward,010,287.0,0.06711880261927035,1.0,1.0,-2.7733355242240854,-2.7733355242240854,0.0863157894736842,0.09407665505226481,0.07462305136723742,0.07208148341603551,0.07955428867582276,0.07673335160317896,0.08373138522056758,0.08214981899192425,0.08517632994620442,0.07875703187784623,0.07815520574426954,0.0778677815521296,0.08208955223880597,0.07993197278911565,0.0865124662060679,0.08862673926194797,0.07719977863862756,0.07718207718207717,0.07682291666666667,0.07556018759770713,0.07541677692511246,0.08101983002832862,0.08446630026034134,0.08104318564217611,0.08402612826603326,0.08275862068965517,0.08458591217211907,0.09136895352513436,0.07878960890665145,0.0816561242093157,0.08627797408716137,0.0743026413231301,0.08208344695936734,0.0752317880794702,0.07543673901535204,0.07708119218910586,0.07732526141992295,0.07714204383717621,0.08380724334031728,0.07521645021645021,0.08403851765392471,0.07917383820998279,0.07432258064516128,0.07880642693190512,0.0750394944707741,0.07634408602150539,0.07702523240371846,0.07686414708886619,0.08242886476972719,0.08381839348079162
