Gene_name	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component
SpyM50015	SpyM50015	4964631			putative amidase	Basal machinery
SpyM50040	SpyM50040	4963986		adhP	alcohol dehydrogenase	Basal machinery
SpyM50075	SpyM50075	4962792			MarR family regulatory protein	Global regulator
SpyM50076	SpyM50076	4962793			ABC transporter ATP-binding protein	Basal machinery
SpyM50077	SpyM50077	4962794			ABC transporter permease protein	Basal machinery
SpyM50084	SpyM50084	4962797			putative competence protein	Basal machinery
SpyM50085	SpyM50085	4962798			putative competence protein	Basal machinery
SpyM50086	SpyM50086	4962799		comYC	putative competence protein	Basal machinery
SpyM50087	SpyM50087	4964069			putative competence protein	Basal machinery
SpyM50088	SpyM50088	4962800			hypothetical protein	Basal machinery
SpyM50089	SpyM50089	4962801			hypothetical protein	Basal machinery
SpyM50090	SpyM50090	4962802			hypothetical protein	Basal machinery
SpyM50091	SpyM50091	4962803			hypothetical protein	Basal machinery
SpyM50100	SpyM50100	4962810			putative deoxyadenosine kinase protein	Basal machinery
SpyM50101	SpyM50101	4962811			tRNA-dihydrouridine synthase	Basal machinery
SpyM50103	SpyM50103	4962813		rofA	RofA transcriptional regulator	Global regulator
SpyM50105	SpyM50105	4962814			putative signal peptidase	Basal machinery
SpyM50106a	SpyM50106a	4964555			putative surface-anchored protein	Basal machinery
SpyM50107	SpyM50107	4962816		srtB	sortase B	Basal machinery
SpyM50109	SpyM50109	4962817			AraC family transcription regulator	Basal machinery
SpyM50129	SpyM50129	4964329			hypothetical protein	Basal machinery
SpyM50134	SpyM50134	4964335		nga	NAD glycohydrolase	Basal machinery
SpyM50135	SpyM50135	4964317			hypothetical protein	Basal machinery
SpyM50136	SpyM50136	4962831		slo	streptolysin O precursor (thiol-activated cytolysin)	Basal machinery
SpyM50150	SpyM50150	4962844			putative glycine betaine transport ATP-binding protein	Basal machinery
SpyM50151	SpyM50151	4962845			putative glycine-betaine binding permease protein	Basal machinery
SpyM50154	SpyM50154	4962847			ferric uptake regulator family protein	Global regulator
SpyM50175	SpyM50175	4964197			ABC transporter ATP-binding membrane protein	Basal machinery
SpyM50176	SpyM50176	4962863			ABC transporter ATP-binding membrane protein	Basal machinery
SpyM50220	SpyM50220	4964276		sufC	putative ABC transporter, ATP-binding protein	Basal machinery
SpyM50228	SpyM50228	4962888			putative oligopeptide transporter permease protein	Basal machinery
SpyM50229	SpyM50229	4962889			putative oligopeptide transporter permease protein	Basal machinery
SpyM50230	SpyM50230	4962890			putative oligopeptide transporter ATP-binding protein	Basal machinery
SpyM50231	SpyM50231	4962891			putative oligopeptide transporter ATP-binding protein	Basal machinery
SpyM50236	SpyM50236	4964593		comX1	putative competence-specific global transcription modulator	Global regulator
SpyM50263	SpyM50263	4964500		udp	putative uridine phosphorylase	Basal machinery
SpyM50274	SpyM50274	4962919			Crp family regulatory protein	Global regulator
SpyM50281	SpyM50281	4962924		pfl	formate acetyltransferase	Basal machinery
SpyM50308	SpyM50308	4964532		scrA	PTS system, sucrose-specific IIABC component	Basal machinery
SpyM50316	SpyM50316	4963996			putative iron transport-associated protein	Basal machinery
SpyM50317	SpyM50317	4962942			hypothetical protein	Basal machinery
SpyM50318	SpyM50318	4962943			putative transport system extracellular binding lipoprotein	Basal machinery
SpyM50319	SpyM50319	4962944			putative iron/heme permease	Basal machinery
